watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,NASDAQ 100 stocks,,MSFT
Stocks in Index,NASDAQ 100 stocks,,NVDA
Stocks in Index,NASDAQ 100 stocks,,AAPL
Stocks in Index,NASDAQ 100 stocks,,AMZN
Stocks in Index,NASDAQ 100 stocks,,GOOG
Stocks in Index,NASDAQ 100 stocks,,GOOGL
Stocks in Index,NASDAQ 100 stocks,,META
Stocks in Index,NASDAQ 100 stocks,,TSLA
Stocks in Index,NASDAQ 100 stocks,,AVGO
Stocks in Index,NASDAQ 100 stocks,,NFLX
Stocks in Index,NASDAQ 100 stocks,,COST
Stocks in Index,NASDAQ 100 stocks,,ASML
Stocks in Index,NASDAQ 100 stocks,,PLTR
Stocks in Index,NASDAQ 100 stocks,,TMUS
Stocks in Index,NASDAQ 100 stocks,,CSCO
Stocks in Index,NASDAQ 100 stocks,,LIN
Stocks in Index,NASDAQ 100 stocks,,AZN
Stocks in Index,NASDAQ 100 stocks,,ISRG
Stocks in Index,NASDAQ 100 stocks,,INTU
Stocks in Index,NASDAQ 100 stocks,,AMD
Stocks in Index,NASDAQ 100 stocks,,PEP
Stocks in Index,NASDAQ 100 stocks,,ADBE
Stocks in Index,NASDAQ 100 stocks,,BKNG
Stocks in Index,NASDAQ 100 stocks,,PDD
Stocks in Index,NASDAQ 100 stocks,,TXN
Stocks in Index,NASDAQ 100 stocks,,QCOM
Stocks in Index,NASDAQ 100 stocks,,AMGN
Stocks in Index,NASDAQ 100 stocks,,HON
Stocks in Index,NASDAQ 100 stocks,,ARM
Stocks in Index,NASDAQ 100 stocks,,GILD
Stocks in Index,NASDAQ 100 stocks,,MELI
Stocks in Index,NASDAQ 100 stocks,,ADP
Stocks in Index,NASDAQ 100 stocks,,AMAT
Stocks in Index,NASDAQ 100 stocks,,CMCSA
Stocks in Index,NASDAQ 100 stocks,,PANW
Stocks in Index,NASDAQ 100 stocks,,APP
Stocks in Index,NASDAQ 100 stocks,,VRTX
Stocks in Index,NASDAQ 100 stocks,,CRWD
Stocks in Index,NASDAQ 100 stocks,,MSTR
Stocks in Index,NASDAQ 100 stocks,,MU
Stocks in Index,NASDAQ 100 stocks,,LRCX
Stocks in Index,NASDAQ 100 stocks,,ADI
Stocks in Index,NASDAQ 100 stocks,,KLAC
Stocks in Index,NASDAQ 100 stocks,,SBUX
Stocks in Index,NASDAQ 100 stocks,,CEG
Stocks in Index,NASDAQ 100 stocks,,INTC
Stocks in Index,NASDAQ 100 stocks,,CTAS
Stocks in Index,NASDAQ 100 stocks,,CDNS
Stocks in Index,NASDAQ 100 stocks,,DASH
Stocks in Index,NASDAQ 100 stocks,,MDLZ
Stocks in Index,NASDAQ 100 stocks,,FTNT
Stocks in Index,NASDAQ 100 stocks,,ABNB
Stocks in Index,NASDAQ 100 stocks,,SNPS
Stocks in Index,NASDAQ 100 stocks,,ORLY
Stocks in Index,NASDAQ 100 stocks,,WDAY
Stocks in Index,NASDAQ 100 stocks,,MAR
Stocks in Index,NASDAQ 100 stocks,,PYPL
Stocks in Index,NASDAQ 100 stocks,,CHTR
Stocks in Index,NASDAQ 100 stocks,,ADSK
Stocks in Index,NASDAQ 100 stocks,,REGN
Stocks in Index,NASDAQ 100 stocks,,MNST
Stocks in Index,NASDAQ 100 stocks,,ROP
Stocks in Index,NASDAQ 100 stocks,,CPRT
Stocks in Index,NASDAQ 100 stocks,,CSX
Stocks in Index,NASDAQ 100 stocks,,AXON
Stocks in Index,NASDAQ 100 stocks,,PAYX
Stocks in Index,NASDAQ 100 stocks,,TEAM
Stocks in Index,NASDAQ 100 stocks,,AEP
Stocks in Index,NASDAQ 100 stocks,,MRVL
Stocks in Index,NASDAQ 100 stocks,,ROST
Stocks in Index,NASDAQ 100 stocks,,NXPI
Stocks in Index,NASDAQ 100 stocks,,PCAR
Stocks in Index,NASDAQ 100 stocks,,FAST
Stocks in Index,NASDAQ 100 stocks,,KDP
Stocks in Index,NASDAQ 100 stocks,,VRSK
Stocks in Index,NASDAQ 100 stocks,,EXC
Stocks in Index,NASDAQ 100 stocks,,IDXX
Stocks in Index,NASDAQ 100 stocks,,CCEP
Stocks in Index,NASDAQ 100 stocks,,TTWO
Stocks in Index,NASDAQ 100 stocks,,DDOG
Stocks in Index,NASDAQ 100 stocks,,XEL
Stocks in Index,NASDAQ 100 stocks,,FANG
Stocks in Index,NASDAQ 100 stocks,,CTSH
Stocks in Index,NASDAQ 100 stocks,,ZS
Stocks in Index,NASDAQ 100 stocks,,LULU
Stocks in Index,NASDAQ 100 stocks,,EA
Stocks in Index,NASDAQ 100 stocks,,TTD
Stocks in Index,NASDAQ 100 stocks,,BKR
Stocks in Index,NASDAQ 100 stocks,,ODFL
Stocks in Index,NASDAQ 100 stocks,,DXCM
Stocks in Index,NASDAQ 100 stocks,,GEHC
Stocks in Index,NASDAQ 100 stocks,,KHC
Stocks in Index,NASDAQ 100 stocks,,CSGP
Stocks in Index,NASDAQ 100 stocks,,MCHP
Stocks in Index,NASDAQ 100 stocks,,ANSS
Stocks in Index,NASDAQ 100 stocks,,CDW
Stocks in Index,NASDAQ 100 stocks,,WBD
Stocks in Index,NASDAQ 100 stocks,,GFS
Stocks in Index,NASDAQ 100 stocks,,BIIB
Stocks in Index,NASDAQ 100 stocks,,ON
Stocks in Index,NASDAQ 100 stocks,,MDB
