watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,NASDAQ 100 stocks,XNAS,MSFT
Stocks in Index,NASDAQ 100 stocks,XNAS,NVDA
Stocks in Index,NASDAQ 100 stocks,XNAS,AAPL
Stocks in Index,NASDAQ 100 stocks,XNAS,AMZN
Stocks in Index,NASDAQ 100 stocks,XNAS,GOOG
Stocks in Index,NASDAQ 100 stocks,XNAS,GOOGL
Stocks in Index,NASDAQ 100 stocks,XNAS,META
Stocks in Index,NASDAQ 100 stocks,XNAS,TSLA
Stocks in Index,NASDAQ 100 stocks,XNAS,AVGO
Stocks in Index,NASDAQ 100 stocks,XNAS,NFLX
Stocks in Index,NASDAQ 100 stocks,XNAS,COST
Stocks in Index,NASDAQ 100 stocks,,ASML
Stocks in Index,NASDAQ 100 stocks,XNAS,PLTR
Stocks in Index,NASDAQ 100 stocks,XNAS,TMUS
Stocks in Index,NASDAQ 100 stocks,XNAS,CSCO
Stocks in Index,NASDAQ 100 stocks,XNAS,LIN
Stocks in Index,NASDAQ 100 stocks,,AZN
Stocks in Index,NASDAQ 100 stocks,XNAS,ISRG
Stocks in Index,NASDAQ 100 stocks,XNAS,INTU
Stocks in Index,NASDAQ 100 stocks,XNAS,AMD
Stocks in Index,NASDAQ 100 stocks,XNAS,PEP
Stocks in Index,NASDAQ 100 stocks,XNAS,ADBE
Stocks in Index,NASDAQ 100 stocks,XNAS,BKNG
Stocks in Index,NASDAQ 100 stocks,,PDD
Stocks in Index,NASDAQ 100 stocks,XNAS,TXN
Stocks in Index,NASDAQ 100 stocks,XNAS,QCOM
Stocks in Index,NASDAQ 100 stocks,XNAS,AMGN
Stocks in Index,NASDAQ 100 stocks,XNAS,HON
Stocks in Index,NASDAQ 100 stocks,,ARM
Stocks in Index,NASDAQ 100 stocks,XNAS,GILD
Stocks in Index,NASDAQ 100 stocks,XNAS,MELI
Stocks in Index,NASDAQ 100 stocks,XNAS,ADP
Stocks in Index,NASDAQ 100 stocks,XNAS,AMAT
Stocks in Index,NASDAQ 100 stocks,XNAS,CMCSA
Stocks in Index,NASDAQ 100 stocks,XNAS,PANW
Stocks in Index,NASDAQ 100 stocks,XNAS,APP
Stocks in Index,NASDAQ 100 stocks,XNAS,VRTX
Stocks in Index,NASDAQ 100 stocks,XNAS,CRWD
Stocks in Index,NASDAQ 100 stocks,XNAS,MSTR
Stocks in Index,NASDAQ 100 stocks,XNAS,MU
Stocks in Index,NASDAQ 100 stocks,XNAS,LRCX
Stocks in Index,NASDAQ 100 stocks,XNAS,ADI
Stocks in Index,NASDAQ 100 stocks,XNAS,KLAC
Stocks in Index,NASDAQ 100 stocks,XNAS,SBUX
Stocks in Index,NASDAQ 100 stocks,XNAS,CEG
Stocks in Index,NASDAQ 100 stocks,XNAS,INTC
Stocks in Index,NASDAQ 100 stocks,XNAS,CTAS
Stocks in Index,NASDAQ 100 stocks,XNAS,CDNS
Stocks in Index,NASDAQ 100 stocks,XNAS,DASH
Stocks in Index,NASDAQ 100 stocks,XNAS,MDLZ
Stocks in Index,NASDAQ 100 stocks,XNAS,FTNT
Stocks in Index,NASDAQ 100 stocks,XNAS,ABNB
Stocks in Index,NASDAQ 100 stocks,XNAS,SNPS
Stocks in Index,NASDAQ 100 stocks,XNAS,ORLY
Stocks in Index,NASDAQ 100 stocks,XNAS,WDAY
Stocks in Index,NASDAQ 100 stocks,XNAS,MAR
Stocks in Index,NASDAQ 100 stocks,XNAS,PYPL
Stocks in Index,NASDAQ 100 stocks,XNAS,CHTR
Stocks in Index,NASDAQ 100 stocks,XNAS,ADSK
Stocks in Index,NASDAQ 100 stocks,XNAS,REGN
Stocks in Index,NASDAQ 100 stocks,XNAS,MNST
Stocks in Index,NASDAQ 100 stocks,XNAS,ROP
Stocks in Index,NASDAQ 100 stocks,XNAS,CPRT
Stocks in Index,NASDAQ 100 stocks,XNAS,CSX
Stocks in Index,NASDAQ 100 stocks,XNAS,AXON
Stocks in Index,NASDAQ 100 stocks,XNAS,PAYX
Stocks in Index,NASDAQ 100 stocks,XNAS,TEAM
Stocks in Index,NASDAQ 100 stocks,XNAS,AEP
Stocks in Index,NASDAQ 100 stocks,XNAS,MRVL
Stocks in Index,NASDAQ 100 stocks,XNAS,ROST
Stocks in Index,NASDAQ 100 stocks,XNAS,NXPI
Stocks in Index,NASDAQ 100 stocks,XNAS,PCAR
Stocks in Index,NASDAQ 100 stocks,XNAS,FAST
Stocks in Index,NASDAQ 100 stocks,XNAS,KDP
Stocks in Index,NASDAQ 100 stocks,XNAS,VRSK
Stocks in Index,NASDAQ 100 stocks,XNAS,EXC
Stocks in Index,NASDAQ 100 stocks,XNAS,IDXX
Stocks in Index,NASDAQ 100 stocks,XNAS,CCEP
Stocks in Index,NASDAQ 100 stocks,XNAS,TTWO
Stocks in Index,NASDAQ 100 stocks,XNAS,DDOG
Stocks in Index,NASDAQ 100 stocks,XNAS,XEL
Stocks in Index,NASDAQ 100 stocks,XNAS,FANG
Stocks in Index,NASDAQ 100 stocks,XNAS,CTSH
Stocks in Index,NASDAQ 100 stocks,XNAS,ZS
Stocks in Index,NASDAQ 100 stocks,XNAS,LULU
Stocks in Index,NASDAQ 100 stocks,XNAS,EA
Stocks in Index,NASDAQ 100 stocks,XNAS,TTD
Stocks in Index,NASDAQ 100 stocks,XNAS,BKR
Stocks in Index,NASDAQ 100 stocks,XNAS,ODFL
Stocks in Index,NASDAQ 100 stocks,XNAS,DXCM
