watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,S&P 500 stocks,,MSFT
Stocks in Index,S&P 500 stocks,,NVDA
Stocks in Index,S&P 500 stocks,,AAPL
Stocks in Index,S&P 500 stocks,,AMZN
Stocks in Index,S&P 500 stocks,,GOOG
Stocks in Index,S&P 500 stocks,,GOOGL
Stocks in Index,S&P 500 stocks,,META
Stocks in Index,S&P 500 stocks,,TSLA
Stocks in Index,S&P 500 stocks,,BRK.B
Stocks in Index,S&P 500 stocks,,AVGO
Stocks in Index,S&P 500 stocks,,WMT
Stocks in Index,S&P 500 stocks,,JPM
Stocks in Index,S&P 500 stocks,,V
Stocks in Index,S&P 500 stocks,,LLY
Stocks in Index,S&P 500 stocks,,MA
Stocks in Index,S&P 500 stocks,,NFLX
Stocks in Index,S&P 500 stocks,,COST
Stocks in Index,S&P 500 stocks,,XOM
Stocks in Index,S&P 500 stocks,,ORCL
Stocks in Index,S&P 500 stocks,,PG
Stocks in Index,S&P 500 stocks,,JNJ
Stocks in Index,S&P 500 stocks,,HD
Stocks in Index,S&P 500 stocks,,BAC
Stocks in Index,S&P 500 stocks,,ABBV
Stocks in Index,S&P 500 stocks,,KO
Stocks in Index,S&P 500 stocks,,PLTR
Stocks in Index,S&P 500 stocks,,TMUS
Stocks in Index,S&P 500 stocks,,PM
Stocks in Index,S&P 500 stocks,,CRM
Stocks in Index,S&P 500 stocks,,UNH
Stocks in Index,S&P 500 stocks,,CSCO
Stocks in Index,S&P 500 stocks,,GE
Stocks in Index,S&P 500 stocks,,WFC
Stocks in Index,S&P 500 stocks,,CVX
Stocks in Index,S&P 500 stocks,,IBM
Stocks in Index,S&P 500 stocks,,ABT
Stocks in Index,S&P 500 stocks,,MCD
Stocks in Index,S&P 500 stocks,,LIN
Stocks in Index,S&P 500 stocks,,NOW
Stocks in Index,S&P 500 stocks,,MS
Stocks in Index,S&P 500 stocks,,AXP
Stocks in Index,S&P 500 stocks,,DIS
Stocks in Index,S&P 500 stocks,,ACN
Stocks in Index,S&P 500 stocks,,T
Stocks in Index,S&P 500 stocks,,MRK
Stocks in Index,S&P 500 stocks,,ISRG
Stocks in Index,S&P 500 stocks,,INTU
Stocks in Index,S&P 500 stocks,,UBER
Stocks in Index,S&P 500 stocks,,VZ
Stocks in Index,S&P 500 stocks,,AMD
Stocks in Index,S&P 500 stocks,,RTX
Stocks in Index,S&P 500 stocks,,PEP
Stocks in Index,S&P 500 stocks,,ADBE
Stocks in Index,S&P 500 stocks,,GS
Stocks in Index,S&P 500 stocks,,BKNG
Stocks in Index,S&P 500 stocks,,BX
Stocks in Index,S&P 500 stocks,,TXN
Stocks in Index,S&P 500 stocks,,PGR
Stocks in Index,S&P 500 stocks,,CAT
Stocks in Index,S&P 500 stocks,,QCOM
Stocks in Index,S&P 500 stocks,,SCHW
Stocks in Index,S&P 500 stocks,,SPGI
Stocks in Index,S&P 500 stocks,,BSX
Stocks in Index,S&P 500 stocks,,BA
Stocks in Index,S&P 500 stocks,,TMO
Stocks in Index,S&P 500 stocks,,BLK
Stocks in Index,S&P 500 stocks,,AMGN
Stocks in Index,S&P 500 stocks,,TJX
Stocks in Index,S&P 500 stocks,,SYK
Stocks in Index,S&P 500 stocks,,HON
Stocks in Index,S&P 500 stocks,,DE
Stocks in Index,S&P 500 stocks,,NEE
Stocks in Index,S&P 500 stocks,,C
Stocks in Index,S&P 500 stocks,,DHR
Stocks in Index,S&P 500 stocks,,UNP
Stocks in Index,S&P 500 stocks,,GILD
Stocks in Index,S&P 500 stocks,,PFE
Stocks in Index,S&P 500 stocks,,ADP
Stocks in Index,S&P 500 stocks,,AMAT
Stocks in Index,S&P 500 stocks,,CMCSA
Stocks in Index,S&P 500 stocks,,ETN
Stocks in Index,S&P 500 stocks,,LOW
Stocks in Index,S&P 500 stocks,,GEV
Stocks in Index,S&P 500 stocks,,PANW
Stocks in Index,S&P 500 stocks,,ANET
Stocks in Index,S&P 500 stocks,,CB
Stocks in Index,S&P 500 stocks,,MMC
Stocks in Index,S&P 500 stocks,,VRTX
Stocks in Index,S&P 500 stocks,,CRWD
Stocks in Index,S&P 500 stocks,,LMT
Stocks in Index,S&P 500 stocks,,COP
Stocks in Index,S&P 500 stocks,,MU
Stocks in Index,S&P 500 stocks,,LRCX
Stocks in Index,S&P 500 stocks,,KKR
Stocks in Index,S&P 500 stocks,,ADI
Stocks in Index,S&P 500 stocks,,MDT
Stocks in Index,S&P 500 stocks,,APH
Stocks in Index,S&P 500 stocks,,CME
Stocks in Index,S&P 500 stocks,,KLAC
Stocks in Index,S&P 500 stocks,,MO
Stocks in Index,S&P 500 stocks,,ICE
Stocks in Index,S&P 500 stocks,,PLD
Stocks in Index,S&P 500 stocks,,AMT
Stocks in Index,S&P 500 stocks,,SO
Stocks in Index,S&P 500 stocks,,WELL
Stocks in Index,S&P 500 stocks,,BMY
Stocks in Index,S&P 500 stocks,,SBUX
