watchlist_type,watchlist_name,exchange_code,stock_symbol
Stocks in Index,S&P 500 stocks,XNAS,MSFT
Stocks in Index,S&P 500 stocks,XNAS,NVDA
Stocks in Index,S&P 500 stocks,XNAS,AAPL
Stocks in Index,S&P 500 stocks,XNAS,AMZN
Stocks in Index,S&P 500 stocks,XNAS,GOOG
Stocks in Index,S&P 500 stocks,XNAS,GOOGL
Stocks in Index,S&P 500 stocks,XNAS,META
Stocks in Index,S&P 500 stocks,XNAS,TSLA
Stocks in Index,S&P 500 stocks,XNYS,BRK.B
Stocks in Index,S&P 500 stocks,XNAS,AVGO
Stocks in Index,S&P 500 stocks,XNYS,WMT
Stocks in Index,S&P 500 stocks,XNYS,JPM
Stocks in Index,S&P 500 stocks,XNYS,V
Stocks in Index,S&P 500 stocks,XNYS,LLY
Stocks in Index,S&P 500 stocks,XNYS,MA
Stocks in Index,S&P 500 stocks,XNAS,NFLX
Stocks in Index,S&P 500 stocks,XNAS,COST
Stocks in Index,S&P 500 stocks,XNYS,XOM
Stocks in Index,S&P 500 stocks,XNYS,ORCL
Stocks in Index,S&P 500 stocks,XNYS,PG
Stocks in Index,S&P 500 stocks,XNYS,JNJ
Stocks in Index,S&P 500 stocks,XNYS,HD
Stocks in Index,S&P 500 stocks,XNYS,BAC
Stocks in Index,S&P 500 stocks,XNYS,ABBV
Stocks in Index,S&P 500 stocks,XNYS,KO
Stocks in Index,S&P 500 stocks,XNYS,PLTR
Stocks in Index,S&P 500 stocks,XNAS,TMUS
Stocks in Index,S&P 500 stocks,XNYS,PM
Stocks in Index,S&P 500 stocks,XNYS,CRM
Stocks in Index,S&P 500 stocks,XNYS,UNH
Stocks in Index,S&P 500 stocks,XNAS,CSCO
Stocks in Index,S&P 500 stocks,XNYS,GE
Stocks in Index,S&P 500 stocks,XNYS,WFC
Stocks in Index,S&P 500 stocks,XNYS,CVX
Stocks in Index,S&P 500 stocks,XNYS,IBM
Stocks in Index,S&P 500 stocks,XNYS,ABT
Stocks in Index,S&P 500 stocks,XNYS,MCD
Stocks in Index,S&P 500 stocks,XNAS,LIN
Stocks in Index,S&P 500 stocks,XNYS,NOW
Stocks in Index,S&P 500 stocks,XNYS,MS
Stocks in Index,S&P 500 stocks,XNYS,AXP
Stocks in Index,S&P 500 stocks,XNYS,DIS
Stocks in Index,S&P 500 stocks,XNYS,ACN
Stocks in Index,S&P 500 stocks,XNYS,T
Stocks in Index,S&P 500 stocks,XNYS,MRK
Stocks in Index,S&P 500 stocks,XNAS,ISRG
Stocks in Index,S&P 500 stocks,XNAS,INTU
Stocks in Index,S&P 500 stocks,XNYS,UBER
Stocks in Index,S&P 500 stocks,XNYS,VZ
Stocks in Index,S&P 500 stocks,XNAS,AMD
Stocks in Index,S&P 500 stocks,XNYS,RTX
Stocks in Index,S&P 500 stocks,XNAS,PEP
Stocks in Index,S&P 500 stocks,XNAS,ADBE
Stocks in Index,S&P 500 stocks,XNYS,GS
Stocks in Index,S&P 500 stocks,XNAS,BKNG
Stocks in Index,S&P 500 stocks,XNYS,BX
Stocks in Index,S&P 500 stocks,XNAS,TXN
Stocks in Index,S&P 500 stocks,XNYS,PGR
Stocks in Index,S&P 500 stocks,XNYS,CAT
Stocks in Index,S&P 500 stocks,XNAS,QCOM
