name,exchange,symbol,asx_symbol,yahoo_symbol,country,currency,ticker_type,ticker_sub_type
ASX All Ordinaries,XASX,AORD,XAO,^AORD,AUS,AUD,index,additional
S&P ASX 100,XASX,AXTO,XTO,^ATOI,AUS,AUD,index,additional
S&P ASX 20,XASX,ATLI,ATLI,^ATLI,AUS,AUD,index,additional
S&P ASX 200 2X Inverse Daily,XASX,XNV,XNV,^AXNV,AUS,AUD,index,other
S&P ASX 200 2X Leverage Daily,XASX,XLD,XLD,^AXLD,AUS,AUD,index,other
S&P ASX 200 A REIT,XASX,XPJ,XPJ,^AXPJ,AUS,AUD,index,primary sectors
S&P ASX 200 Banks,XASX,XBK,XBK,^AXBK,AUS,AUD,index,other
S&P ASX 200 Banks Net Total Return,XASX,XBN,XBN,^AXBN,AUS,AUD,index,other
S&P ASX 200 Banks Total Return,XASX,XBT,XBT,,AUS,AUD,index,other
S&P ASX 200 Communication Services,XASX,XTJ,XTJ,^AXTJ,AUS,AUD,index,primary sectors
S&P ASX 200 Consumer Discretionary,XASX,XDJ,XDJ,^AXDJ,AUS,AUD,index,primary sectors
S&P ASX 200 Consumer Staples,XASX,XSJ,XSJ,^AXSJ,AUS,AUD,index,primary sectors
S&P ASX 200 DEC NTR Dow Jones,XASX,XNI,XNI,^AXNI,AUS,AUD,index,other
S&P ASX 200 DEC TR Dow Jones,XASX,XRI,XRI,^AXRI,AUS,AUD,index,other
S&P ASX 200 Emerging Companies TR,XASX,XET,XET,^AXET,AUS,AUD,index,other
S&P ASX 200 Energy,XASX,AXEJ,XEJ,^AXEJ,AUS,AUD,index,primary sectors
S&P ASX 200 Equal Weight,XASX,XEW,XEW,^AXEW,AUS,AUD,index,other
S&P ASX 200 Ex S&P ASX 100,XASX,XJM,XJM,^AXJM,AUS,AUD,index,other
S&P ASX 200 Ex S&P ASX 100 TR,XASX,XJS,XJS,^AXJS,AUS,AUD,index,other
S&P ASX 200 Financial,XASX,XFJ,XFJ,^AXFJ,AUS,AUD,index,primary sectors
S&P ASX 200 Financials ex A REITS,XASX,XXJ,XXJ,^AXXJ,AUS,AUD,index,other
S&P ASX 200 Futures 4.5% Decrement Index Aonia AUD TR,XASX,XFR,XFR,^AXFR,AUS,AUD,index,other
S&P ASX 200 Futures Aonia in AUD ER,XASX,XFE,XFE,^AXFE,AUS,AUD,index,other
S&P ASX 200 Futures Aonia in AUD TR,XASX,XFN,XFN,^AXFN,AUS,AUD,index,other
S&P ASX 200 Gross Total Return,XASX,XJT,XJT,^AXJT,AUS,AUD,index,other
S&P ASX 200 Health Care,XASX,XHJ,XHJ,^AXHJ,AUS,AUD,index,primary sectors
S&P ASX 200,XASX,AXJO,XJO,^AXJO,AUS,AUD,index,major
S&P ASX 200 Industrials,XASX,AXNJ,XNJ,^AXNJ,AUS,AUD,index,primary sectors
S&P ASX 200 Information Technology,XASX,XIJ,XIJ,^AXIJ,AUS,AUD,index,primary sectors
S&P ASX 200 Materials,XASX,AXMJ,XMJ,^AXMJ,AUS,AUD,index,primary sectors
S&P ASX 200 Net Total Return,XASX,XNT,XNT,^AXNT,AUS,AUD,index,other
S&P ASX 200 Real Estate,XASX,XRE,XRE,^AXRE,AUS,AUD,index,other
S&P ASX 200 Real Inverse Daily,XASX,XIN,XIN,^AXIN,AUS,AUD,index,other
S&P ASX 200 Resources,XASX,XJR,XJR,^AXJR,AUS,AUD,index,primary sectors
S&P ASX 200 Utilities,XASX,XUJ,XUJ,^AXUJ,AUS,AUD,index,primary sectors
S&P ASX 200 VIX,XASX,XVI,XVI,^AXVI,AUS,AUD,index,other
S&P ASX 300,XASX,AXKO,XKO,^AXKO,AUS,AUD,index,additional
S&P ASX 300 Metals and Mining,XASX,AXMM,XMM,^AXMM,AUS,AUD,index,primary sectors
S&P ASX 300 Shareholder Yield Index,XASX,XSY,XSY,^AXSY,AUS,AUD,index,other
S&P ASX 50,XASX,AFLI,AFLI,^AFLI,AUS,AUD,index,additional
S&P ASX Agribusiness,XASX,XAG,XAG,^AXAG,AUS,AUD,index,other
S&P ASX All Australian 200,XASX,AXAT,XAT,^AXAT,AUS,AUD,index,other
S&P ASX All Australian 50 ,XASX,AXAF,XAF,^AXAF,AUS,AUD,index,additional
S&P ASX All Ordinaries Gold,XASX,AXGD,XGD,^AXGD,AUS,AUD,index,primary sectors
S&P ASX All Technology,XASX,XTX,XTX,^AXTX,AUS,AUD,index,primary sectors
S&P ASX Buy Write,XASX,XBW,XBW,,AUS,AUD,index,other
S&P ASX Dividend Opportunities,XASX,XDI,XDI,^AXDI,AUS,AUD,index,other
S&P ASX Emerging Companies,XASX,XEC,XEC,^AXEC,AUS,AUD,index,other
S&P ASX Small Ordinaries,XASX,AXSO,XSO,^AXSO,AUS,AUD,index,additional
S&P ASX 200 A REIT Equal Weight,XASX,XAE,XAE,^AXAE,AUS,AUD,index,other
Vaneck Franked Div Ein,XASX,YFDI,YFDI,,AUS,AUD,index,other
S&P ASX Midcap 50,XASX,AXMD,XMD,^AXMD,AUS,AUD,index,additional
S&P TSX Composite,TSX,GSPTSE,,^GSPTSE,CAN,CAD,index,major
S&P TSX Smallcap,TSX,SPTSES,,^SPTSES,CAN,CAD,index,additional
S&P TSX Venture Composite,TSX,SPCDNX,,^SPCDNX,CAN,CAD,index,additional
S&P TSX Completion,TSX,SPTSEM,,^SPTSEM,CAN,CAD,index,additional
S&P TSX 60,TSX,SPTSE,,^SPTSE,CAN,CAD,index,additional
S&P 500,XNYS,SPX,,^GSPC,USA,USD,index,major
Dow Jones Industrial Average,XNYS,DJI,,^DJI,USA,USD,index,major
Nasdaq 100,XNAS,NDX,,^NDX,USA,USD,index,major
Nasdaq Composite,XNAS,IXIC,,^IXIC,USA,USD,index,major
Russell 2000 (Small Cap),XNYS,RUT,,^RUT,USA,USD,index,additional
Dow Jones Transportation,XNYS,DJT,,^DJT,USA,USD,index,additional
Dow Jones Utility,XNYS,DJU,,^DJU,USA,USD,index,additional
Dow Jones Composite,XNYS,DJA,,^DJA,USA,USD,index,additional
NYSE AMEX Composite,XNYS,XAX,,^XAX,USA,USD,index,additional
S&P 100,XNYS,OEX,,^OEX,USA,USD,index,additional
CBOE Colatility Index (S&P 500 VIX),XCBO,VIX,,^VIX,USA,USD,index,additional
FTSE 100,LSE,FTSE,,^FTSE,GBR,GBP,index,major
DAX,FWB,GDAXI,,^GDAXI,DEU,EUR,index,major
Nikkei 225,JPX,N225,,^N225,JPN,JPY,index,major
