watchlist_group_name,watchlist_name,exchange_code,ticker
GICS Sector Indices,AUS Stock Sectors,XASX,XEJ
GICS Sector Indices,AUS Stock Sectors,XASX,XMJ
GICS Sector Indices,AUS Stock Sectors,XASX,XNJ
GICS Sector Indices,AUS Stock Sectors,XASX,XDJ
GICS Sector Indices,AUS Stock Sectors,XASX,XSJ
GICS Sector Indices,AUS Stock Sectors,XASX,XHJ
GICS Sector Indices,AUS Stock Sectors,XASX,XFJ
GICS Sector Indices,AUS Stock Sectors,XASX,XIJ
GICS Sector Indices,AUS Stock Sectors,XASX,XTJ
GICS Sector Indices,AUS Stock Sectors,XASX,XUJ
GICS Sector Indices,AUS Stock Sectors,XASX,XPJ
Special Interest,US ETPs,ARCX,SPY
Special Interest,US ETPs,ARCX,GLD
Special Interest,US ETPs,ARCX,SLV
Special Interest,US ETPs,XNAS,TLT
Special Interest,US ETPs,ARCX,EWZ
Special Interest,US ETPs,ARCX,FXI
Special Interest,US ETPs,XNAS,QQQ
Special Interest,US ETPs,ARCX,GDX
Special Interest,US ETPs,BATS,VXX
Special Interest,US ETPs,ARCX,EEM
Special Interest,US ETPs,ARCX,XLF
Special Interest,US ETPs,ARCX,TZA
Special Interest,US ETPs,ARCX,XLE
Special Interest,US ETPs,ARCX,IWM
Special Interest,US ETPs,ARCX,EFA
Special Interest,US ETPs,XNAS,SMH
Special Interest,US ETPs,ARCX,XLU
Special Interest,US ETPs,ARCX,BITO
Special Interest,Options to Download,XNAS,NVDA
Special Interest,Options to Download,XNAS,AAPL
Special Interest,Options to Download,XNAS,AMZN
Special Interest,Options to Download,XNAS,GOOGL
Special Interest,Options to Download,XNAS,MSFT
Special Interest,Options to Download,XNAS,TSLA
Special Interest,Options to Download,XNAS,AMD
Special Interest,Options to Download,XNAS,INTC
Special Interest,Options to Download,XNAS,CSCO
Special Interest,Options to Download,XNYS,DIS
Special Interest,Options to Download,XNYS,BA
Special Interest,Options to Download,XNYS,IBM
Special Interest,Options to Download,XNYS,CAT
Special Interest,Options to Download,ARCX,SPY
Special Interest,Options to Download,ARCX,GLD
Special Interest,Options to Download,ARCX,SLV
Special Interest,Options to Download,XNAS,TLT
Special Interest,Options to Download,ARCX,EWZ
Special Interest,Options to Download,ARCX,FXI
Special Interest,Options to Download,XNAS,QQQ
Special Interest,Options to Download,ARCX,GDX
Special Interest,Options to Download,BATS,VXX
Special Interest,Options to Download,ARCX,EEM
Special Interest,Options to Download,ARCX,XLF
Special Interest,Options to Download,ARCX,TZA
Special Interest,Options to Download,ARCX,XLE
Special Interest,Options to Download,ARCX,IWM
Special Interest,Options to Download,ARCX,EFA
Special Interest,Options to Download,XNAS,SMH
Special Interest,Options to Download,ARCX,XLU
Special Interest,Options to Download,ARCX,BITO
Special Interest,Options to Download,,MSFT
Special Interest,Options to Download,,NVDA
Special Interest,Options to Download,,AAPL
Special Interest,Options to Download,,AMZN
Special Interest,Options to Download,,GOOG
Special Interest,Options to Download,,GOOGL
Special Interest,Options to Download,,META
Special Interest,Options to Download,,TSLA
Special Interest,Options to Download,,BRK.B
Special Interest,Options to Download,,AVGO
Special Interest,Options to Download,,WMT
Special Interest,Options to Download,,JPM
Special Interest,Options to Download,,V
Special Interest,Options to Download,,LLY
Special Interest,Options to Download,,MA
Special Interest,Options to Download,,NFLX
Special Interest,Options to Download,,COST
Special Interest,Options to Download,,XOM
Special Interest,Options to Download,,ORCL
Special Interest,Options to Download,,PG
Special Interest,Options to Download,,JNJ
Special Interest,Options to Download,,HD
Special Interest,Options to Download,,BAC
Special Interest,Options to Download,,ABBV
Special Interest,Options to Download,,KO
Special Interest,Options to Download,,PLTR
Special Interest,Options to Download,,TMUS
Special Interest,Options to Download,,PM
Special Interest,Options to Download,,CRM
Special Interest,Options to Download,,UNH
Special Interest,Options to Download,,CSCO
Special Interest,Options to Download,,GE
Special Interest,Options to Download,,WFC
Special Interest,Options to Download,,CVX
Special Interest,Options to Download,,IBM
Special Interest,Options to Download,,ABT
Special Interest,Options to Download,,MCD
Special Interest,Options to Download,,LIN
Special Interest,Options to Download,,NOW
Special Interest,Options to Download,,MS
Special Interest,Options to Download,,AXP
Special Interest,Options to Download,,DIS
Special Interest,Options to Download,,ACN
Special Interest,Options to Download,,T
Special Interest,Options to Download,,MRK
Special Interest,Options to Download,,ISRG
Special Interest,Options to Download,,INTU
Special Interest,Options to Download,,UBER
Special Interest,Options to Download,,VZ
Special Interest,Options to Download,,AMD
Special Interest,Options to Download,,RTX
Special Interest,Options to Download,,PEP
Special Interest,Options to Download,,ADBE
Special Interest,Options to Download,,GS
Special Interest,Options to Download,,BKNG
Special Interest,Options to Download,,BX
Special Interest,Options to Download,,TXN
Special Interest,Options to Download,,PGR
Special Interest,Options to Download,,CAT
Special Interest,Options to Download,,QCOM
Special Interest,Options to Download,,SCHW
Special Interest,Options to Download,,SPGI
Special Interest,Options to Download,,BSX
Special Interest,Options to Download,,BA
Special Interest,Options to Download,,TMO
Special Interest,Options to Download,,BLK
Special Interest,Options to Download,,AMGN
Special Interest,Options to Download,,TJX
Special Interest,Options to Download,,SYK
Special Interest,Options to Download,,HON
Special Interest,Options to Download,,DE
Special Interest,Options to Download,,NEE
Special Interest,Options to Download,,C
Special Interest,Options to Download,,DHR
Special Interest,Options to Download,,UNP
Special Interest,Options to Download,,GILD
Special Interest,Options to Download,,PFE
Special Interest,Options to Download,,ADP
Special Interest,Options to Download,,AMAT
Special Interest,Options to Download,,CMCSA
Special Interest,Options to Download,,ETN
Special Interest,Options to Download,,LOW
Special Interest,Options to Download,,GEV
Special Interest,Options to Download,,PANW
Special Interest,Options to Download,,ANET
Special Interest,Options to Download,,CB
Special Interest,Options to Download,,MMC
Special Interest,Options to Download,,VRTX
Special Interest,Options to Download,,CRWD
Special Interest,Options to Download,,LMT
Special Interest,Options to Download,,COP
Special Interest,Options to Download,,MU
Special Interest,Options to Download,,LRCX
Special Interest,Options to Download,,KKR
Special Interest,Options to Download,,ADI
Special Interest,Options to Download,,MDT
Special Interest,Options to Download,,APH
Special Interest,Options to Download,,CME
Special Interest,Options to Download,,KLAC
Special Interest,Options to Download,,MO
Special Interest,Options to Download,,ICE
Special Interest,Options to Download,,PLD
Special Interest,Options to Download,,AMT
Special Interest,Options to Download,,SO
Special Interest,Options to Download,,WELL
Special Interest,Options to Download,,BMY
Special Interest,Options to Download,,SBUX
Special Interest,Options to Download,,TT
Special Interest,Options to Download,,WM
Special Interest,Options to Download,,CEG
Special Interest,Options to Download,,HCA
Special Interest,Options to Download,,NKE
Special Interest,Options to Download,,DUK
Special Interest,Options to Download,,INTC
Special Interest,Options to Download,,CTAS
Special Interest,Options to Download,,FI
Special Interest,Options to Download,,MCK
